proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/Green_veriT/x2020_07_28_19_01_13_405_7253502.alethe;"3,223527";"0,334363";"0,044482";"1,213637";"0,01474";"5,305016";1000;992;-8;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_17_45_18_358_5383148.alethe;"0,039338000000000005";"0,00328";"0,0022010000000000003";"0,014272";"0,000427";"0,073494";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_20_25_31_700_6313116.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_22_40_358_5069520.alethe;"0,311192";"0,005981";"0,006052";"0,12443600000000002";"0,001998";"0,49383900000000003";34;34;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_09_27_30_564_5589652.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_37_49_050_4985034.alethe;"0,054591";"0,006058";"0,002966";"0,022394";"0,00046";"0,103547";4;4;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_45_12_840_18154894.alethe;"0,176202";"0,006907";"0,002588";"0,061284000000000005";"0,001526";"0,276019";43;43;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_08_03_55_054_5331964.alethe;"0,0405";"0,002254";"0,0016619999999999998";"0,014974";"0,000439";"0,071231";8;8;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_18_51_42_656_5093812.alethe;"0,032552000000000005";"0,002131";"0,001987";"0,011589";"0,000542";"0,060102";5;5;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_37_49_696_4987364.alethe;"0,030812999999999997";"0,002297";"0,001967";"0,011382999999999999";"0,000455";"0,059397";4;4;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_06_00_52_932_5037678.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_09_21_12_689_9268514.alethe;"0,038235000000000005";"0,002508";"0,0020310000000000003";"0,012975";"0,00041";"0,07018500000000001";6;6;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_52_10_878_18267626.alethe;"2,912597";"0,42446";"0,059583000000000004";"0,9797370000000001";"0,010176999999999999";"4,740425";797;786;-11;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_19_33_15_866_4987976.alethe;"0,134322";"0,004408";"0,0023309999999999997";"0,044485";"0,002104";"0,213859";27;27;0;;;;;1;
